ProgramNameEN,FiscalYear,AwardAmount
Collaborative Research Opportunities Grants,2004,3345829
Collaborative Health Research Projects,2007,3344027
Industrial Undergraduate Student Research Awards,2006,3313382
1967 Science and Engineering Scholarships,1995,3300265
Discovery Grants Program - Institutes and Initiatives,1999,3296936
Discovery Grants Program - Institutes and Initiatives,2001,3296936
Discovery Grants Program - Institutes and Initiatives,2000,3296936
Discovery Grants Program - Institutes and Initiatives,2002,3296936
Industrial Research Fellowships,2001,3295630
Discovery Grants Program - Group,2002,3284155
Subatomic Physics Envelope - Research Tools and Instruments,2008,3282006
Discovery Grants Program - Group,2003,3279355
Industrial Undergraduate Student Research Awards,2009,3265719
Intellectual Property Mobilization - Infrastructure,2006,3254093
Discovery Grants Program - Group,2005,3242541
Subatomic Physics Envelope - Major Facilities Access,1998,3239000
Industrial Research Fellowships,1995,3231505
Collaborative Health Research Projects,2006,3212838
Industrial Undergraduate Student Research Awards,2003,3209097
Subatomic Physics Envelope - Major Resources Support Program,2009,3207000
Genomics Projects,2002,3192908
Industrial Research Fellowships,2000,3191488
Postgraduate Scholarships - Master's,2010,3191223
University Faculty Award,2002,3180288
Subatomic Physics Envelope - Major Facilities Access,1999,3169000
Discovery Grants Program - Group,2004,3161624
Industrial Postgraduate Scholarships,2000,3139491
